# registered_name	canonical_name	layer	category	designations
type	type	1	core	none
to_string	to_string	1	core	none
tostring	to_string	1	core	compatibility
to_number	to_number	1	core	none
count	count	1	core	none
print	print	3	template-output	none
println	println	3	template-output	none
debug	debug	2	debug	development
nl2br	nl2br	2	string	none
html_escape	html_escape	2	escaping	none
htmlspecialchars	html_escape	2	escaping	compatibility
len	len	2	string	none
substr	substr	2	string	none
lower	lower	2	string	none
upper	upper	2	string	none
trim	trim	2	string	none
replace	replace	2	string	none
split	split	2	string	none
contains	contains	2	string	none
starts_with	starts_with	2	string	none
ends_with	ends_with	2	string	none
push	push	2	collection	none
pop	pop	2	collection	none
shift	shift	2	collection	none
unshift	unshift	2	collection	none
concat	concat	2	collection	none
join	join	2	collection	none
slice	slice	2	collection	none
range	range	2	collection	none
keys	keys	2	object	none
has_key	has_key	2	object	none
get	get	2	object	none
set	set	2	object	none
values	values	2	object	none
abs	abs	2	math	none
floor	floor	2	math	none
ceil	ceil	2	math	none
round	round	2	math	none
pow	pow	2	math	none
sqrt	sqrt	2	math	none
rand	rand	2	math	none
randint	randint	2	math	none
min	min	2	math	none
max	max	2	math	none
is_null	is_null	2	predicate	none
is_bool	is_bool	2	predicate	none
is_number	is_number	2	predicate	none
is_string	is_string	2	predicate	none
is_array	is_array	2	predicate	none
is_object	is_object	2	predicate	none
is_function	is_function	2	predicate	none
now	now	2	date	none
date_parts	date_parts	2	date	none
date_format	date_format	2	date	none
date_add_days	date_add_days	2	date	none
date_parse	date_parse	2	date	none
urlencode	urlencode	2	url	none
urldecode	urldecode	2	url	none
http_status	http_status	4	response	none
status	http_status	4	response	compatibility
http_header	http_header	4	response	none
header	http_header	4	response	compatibility
http_content_type	http_content_type	4	response	none
redirect	redirect	4	response	none
request_body	request_body	4	request	none
request_header	request_header	4	request	none
request_headers	request_headers	4	request	none
cookies	cookies	4	request	none
request_json	request_json	4	request	none
session_get	session_get	4	session	none
session_set	session_set	4	session	none
session_unset	session_unset	4	session	none
session_clear	session_clear	4	session	none
random_token	random_token	4	security	none
csrf_token	csrf_token	4	security	none
csrf_verify	csrf_verify	4	security	none
hash_password	hash_password	4	security	none
verify_password	verify_password	4	security	none
upload_save	upload_save	4	upload	none
send_file	send_file	4	response-file	none
send_mail	send_mail	4	mail	none
file_read	file_read	5	storage	none
file_write	file_write	5	storage	none
file_append	file_append	5	storage	none
file_exists	file_exists	5	storage	none
file_delete	file_delete	5	storage	none
file_size	file_size	5	storage	none
file_modified	file_modified	5	storage	none
dir_create	dir_create	5	storage	none
dir_list	dir_list	5	storage	none
dir_exists	dir_exists	5	storage	none
db_connect	db_connect	5	sqlite	none
db_close	db_close	5	sqlite	none
db_query	db_query	5	sqlite	none
db_exec	db_exec	5	sqlite	none
db_last_insert_id	db_last_insert_id	5	sqlite	none
db_begin	db_begin	5	sqlite	none
db_commit	db_commit	5	sqlite	none
db_rollback	db_rollback	5	sqlite	none
